id,playerID,year,teamName,teamID,league,round,position,games,GS,InnOuts,PO,assists,errors,DP,TP,PB,SB,CS,createdAt,updatedAt
189,schulfr01,1910,CHN,1910CHN,NL,WS,RF,5,5,132,4,0,0,0,0,,,,,
190,sheckji01,1910,CHN,1910CHN,NL,WS,LF,5,5,132,7,2,1,0,0,,,,,
191,steinha01,1910,CHN,1910CHN,NL,WS,3B,5,5,132,2,12,4,0,0,,,,,
192,strunam01,1910,PHA,1910PHA,AL,WS,CF,4,4,110,7,0,1,0,0,,,,,
193,thomair01,1910,PHA,1910PHA,AL,WS,C,4,4,110,27,8,1,1,0,0,,,,
194,tinkejo01,1910,CHN,1910CHN,NL,WS,SS,5,5,132,10,14,1,2,0,,,,,
195,zimmehe01,1910,CHN,1910CHN,NL,WS,2B,5,5,132,11,18,1,1,0,,,,,
196,amesre01,1911,NY1,1911NY1,NL,WS,P,2,1,24,0,1,1,0,0,,,,,
197,bakerfr01,1911,PHA,1911PHA,AL,WS,3B,6,6,167,10,11,2,1,0,,,,,
198,barryja01,1911,PHA,1911PHA,AL,WS,SS,6,6,167,8,12,3,0,0,,,,,
199,bendech01,1911,PHA,1911PHA,AL,WS,P,3,3,78,1,6,0,0,0,,,,,
200,collied01,1911,PHA,1911PHA,AL,WS,2B,6,6,167,13,22,3,1,0,,,,,
201,coombja01,1911,PHA,1911PHA,AL,WS,P,2,2,60,1,2,0,0,0,,,,,
202,cranddo01,1911,NY1,1911NY1,NL,WS,P,2,0,12,0,2,0,0,0,,,,,
203,davisha01,1911,PHA,1911PHA,AL,WS,1B,6,6,166,54,3,0,1,0,,,,,
204,devorjo01,1911,NY1,1911NY1,NL,WS,LF,6,6,162,15,0,1,0,0,,,,,
205,doylela01,1911,NY1,1911NY1,NL,WS,2B,6,6,162,13,14,1,2,0,,,,,
206,fletcar01,1911,NY1,1911NY1,NL,WS,SS,6,6,162,11,18,4,1,0,,,,,
207,herzobu01,1911,NY1,1911NY1,NL,WS,3B,6,6,162,7,14,3,0,0,,,,,
