id,year,league,team,teamID,parkID,spanFirst,spanLast,games,openings,attendance,createdAt,updatedAt
196,1884,AA,TL1,1884TL1,TOL02,1884-09-13,1884-09-13,1,0,0,,
197,1884,UA,WIL,1884WIL,WIL01,1884-09-02,1884-09-10,7,0,0,,
198,1884,AA,WS7,1884WS7,WAS04,1884-05-01,1884-08-02,30,0,0,,
199,1884,UA,WSU,1884WSU,WAS03,1884-04-18,1884-09-25,65,0,0,,
200,1885,NL,BFN,1885BFN,BUF02,1885-05-08,1885-10-07,50,0,0,,
201,1885,NL,BFN,1885BFN,ELM01,1885-10-10,1885-10-10,2,0,0,,
202,1885,NL,BFN,1885BFN,MIL02,1885-09-04,1885-09-04,1,0,0,,
203,1885,AA,BL2,1885BL2,BAL03,1885-04-20,1885-10-01,55,0,0,,
204,1885,AA,BR3,1885BR3,NYC05,1885-04-24,1885-10-01,57,0,0,,
205,1885,NL,BSN,1885BSN,BOS01,1885-05-11,1885-09-12,59,0,0,,
206,1885,NL,CHN,1885CHN,CHI06,1885-06-06,1885-10-10,56,0,0,,
207,1885,AA,CN2,1885CN2,CIN04,1885-04-20,1885-08-30,56,0,0,,
208,1885,NL,DTN,1885DTN,DET01,1885-05-01,1885-10-09,52,0,0,,
209,1885,AA,LS2,1885LS2,LOU02,1885-04-19,1885-08-30,56,0,0,,
210,1885,NL,NY1,1885NY1,NYC03,1885-05-02,1885-09-26,61,0,0,,
211,1885,AA,NY4,1885NY4,NYC03,1885-04-24,1885-10-01,52,0,0,,
212,1885,AA,PH4,1885PH4,PHI01,1885-04-18,1885-10-05,57,0,0,,
213,1885,NL,PHI,1885PHI,PHI04,1885-05-02,1885-09-07,55,0,0,,
214,1885,NL,PRO,1885PRO,MIL02,1885-09-25,1885-09-25,1,0,0,,
215,1885,NL,PRO,1885PRO,PRO02,1885-05-11,1885-09-09,50,0,0,,
216,1885,AA,PT1,1885PT1,PIT04,1885-04-28,1885-09-05,57,0,0,,
217,1885,AA,SL4,1885SL4,STL03,1885-04-18,1885-09-06,55,0,0,,
218,1885,NL,SL5,1885SL5,IND02,1885-09-15,1885-09-15,1,0,0,,
219,1885,NL,SL5,1885SL5,STL04,1885-04-30,1885-10-09,57,0,0,,
220,1886,AA,BL2,1886BL2,BAL03,1886-04-17,1886-09-23,67,3,6300,,
221,1886,AA,BR3,1886BR3,NYC05,1886-04-22,1886-09-23,56,3,12000,,
222,1886,AA,BR3,1886BR3,NYC07,1886-05-02,1886-09-19,14,3,17000,,
223,1886,NL,BSN,1886BSN,BOS01,1886-05-28,1886-10-09,59,0,0,,
