id,playerID,year,round,team,teamID,league,wins,loses,games,GS,CG,SHO,SV,IPouts,hits,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,runs,SH,SF,GIDP,createdAt,updatedAt
142,shawkbo01,1914,WS,PHA,1914PHA,AL,0,1,1,1,0,0,0,15,4,2,0,2,0,0.222,3.6,0,0,0,0,20,0,3,0,0,0,,
143,tylerle01,1914,WS,BSN,1914BSN,NL,0,0,1,1,0,0,0,30,8,4,0,3,4,0.222,3.6,1,0,0,0,41,0,4,1,1,1,,
144,wyckowe01,1914,WS,PHA,1914PHA,AL,0,0,1,0,0,0,0,11,3,1,0,1,2,0.231,2.45,0,0,0,0,14,1,1,0,0,1,,
145,alexape01,1915,WS,PHI,1915PHI,NL,1,1,2,2,2,0,0,53,14,3,0,4,10,0.233,1.53,1,0,0,0,69,0,3,4,1,1,,
146,chalmge01,1915,WS,PHI,1915PHI,NL,0,1,1,1,1,0,0,24,8,2,0,3,6,0.286,2.25,0,0,0,0,33,0,2,2,0,1,,
147,fosteru01,1915,WS,BOS,1915BOS,AL,2,0,2,2,2,0,0,54,12,4,1,2,13,0.194,2,0,0,2,0,66,0,5,0,0,1,,
148,leonadu01,1915,WS,BOS,1915BOS,AL,1,0,1,1,1,0,0,27,3,1,0,0,6,0.107,1,0,0,0,0,31,0,1,3,0,0,,
149,mayerer01,1915,WS,PHI,1915PHI,NL,0,1,2,2,1,0,0,34,16,3,1,2,7,0.34,2.38,0,0,0,0,49,0,4,0,0,0,,
150,rixeyep01,1915,WS,PHI,1915PHI,NL,0,1,1,0,0,0,0,20,4,3,2,2,2,0.167,4.05,0,0,1,0,27,1,3,0,0,1,,
151,shoreer01,1915,WS,BOS,1915BOS,AL,1,1,2,2,2,0,0,51,12,4,0,8,6,0.207,2.12,0,0,0,0,68,0,4,2,0,0,,
152,chenela01,1916,WS,BRO,1916BRO,NL,0,0,1,0,0,0,0,9,4,1,0,1,5,0.308,3,0,0,0,0,14,0,2,0,0,0,,
153,coombja01,1916,WS,BRO,1916BRO,NL,1,0,1,1,0,0,0,19,7,3,1,1,1,0.304,4.26,0,0,0,0,24,0,3,0,0,0,,
154,dellwh01,1916,WS,BRO,1916BRO,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.333,0,0,0,0,0,4,1,0,1,0,0,,
155,fosteru01,1916,WS,BOS,1916BOS,AL,0,0,1,0,0,0,0,9,3,0,0,0,1,0.273,0,0,0,0,0,11,1,0,0,0,0,,
156,leonadu01,1916,WS,BOS,1916BOS,AL,1,0,1,1,1,0,0,27,5,1,0,4,3,0.156,1,0,1,0,0,36,0,2,0,0,0,,
157,marquru01,1916,WS,BRO,1916BRO,NL,0,2,2,2,0,0,0,33,12,7,1,6,9,0.293,5.73,0,0,0,0,53,0,9,5,1,0,,
158,maysca01,1916,WS,BOS,1916BOS,AL,0,1,2,1,0,0,1,16,8,4,0,3,2,0.381,6.75,1,0,1,0,28,1,4,3,0,0,,
159,pfeffje01,1916,WS,BRO,1916BRO,NL,0,1,3,1,0,0,1,32,7,2,0,4,5,0.194,1.69,0,2,0,0,42,2,5,1,1,0,,
160,ruckena01,1916,WS,BRO,1916BRO,NL,0,0,1,0,0,0,0,6,1,0,0,0,3,0.167,0,0,0,0,0,6,1,0,0,0,0,,
161,ruthba01,1916,WS,BOS,1916BOS,AL,1,0,1,1,1,0,0,42,6,1,1,3,4,0.14,0.64,0,0,0,0,48,0,1,2,0,1,,
162,shoreer01,1916,WS,BOS,1916BOS,AL,2,0,2,2,1,0,0,53,12,3,0,4,9,0.19,1.53,0,0,1,0,69,0,6,1,0,3,,
163,smithsh01,1916,WS,BRO,1916BRO,NL,0,1,1,1,1,0,0,40,7,2,0,6,2,0.167,1.35,1,0,0,0,51,0,2,3,0,1,,
